科室,排名,医院名称,官网URL,省份,城市
小儿内科,7,上海儿童医学中心,,上海,上海
小儿内科,8,山东大学齐鲁医院,https://www.qiluhospital.com/,山东,
小儿内科,9,上海交通大学医学院附属新华医院,https://www.xinhuamed.com.cn/,上海,上海
小儿内科,10,南京大学医学院附属鼓楼医院,https://www.njglyy.com/,江苏,南京
小儿内科,获提名,南京医科大学附属儿童医院,,江苏,南京
小儿内科,获提名,上海交通大学医学院附属瑞金医院,https://www.rjh.com.cn/,上海,上海
小儿内科,获提名,浙江大学医学院附属第一医院,https://www.zy91.com/,浙江,
小儿内科,获提名,南昌大学第一附属医院,https://www.cdyfy.com/,江西,南昌
小儿内科,获提名,浙江大学医学院附属第二医院,https://www.z2hospital.com/,浙江,
小儿内科,获提名,江苏省人民医院（南京医科大学第一附属医院,https://www.jsph.org.cn/,江苏,南京
小儿内科,获提名,山东第一医科大学附属省立医院（山东省立医院,https://www.sph.com.cn/,山东,
小儿内科,获提名,同济大学附属东方医院（上海市东方医院,https://www.easthospital.cn/,上海,上海
小儿内科,获提名,安徽医科大学第一附属医院,https://www.ayfy.com/,安徽,
小儿内科,获提名,青岛大学附属医院,https://www.qduh.cn/,山东,青岛
小儿内科,获提名,厦门大学附属中山医院,,福建,厦门
小儿内科,获提名,福建医科大学附属协和医院,https://www.fjxiehe.com/,福建,
小儿内科,获提名,中国人民解放军东部战区总医院,,江苏,南京
小儿内科,获提名,海军军医大学第二附属医院,,,
小儿内科,获提名,浙江大学医学院附属邵逸夫医院,https://www.srrsh.com/,浙江,
小儿内科,获提名,中国科学技术大学附属第一医院（安徽省立医院,https://www.ahslyy.com.cn/,安徽,
小儿内科,获提名,杭州市第一人民医院,,浙江,杭州
小儿内科,获提名,苏州大学附属第一医院,,江苏,苏州
小儿内科,获提名,上海市儿童医院,,上海,上海
小儿内科,获提名,苏州大学附属儿童医院,,江苏,苏州
小儿内科,获提名,江西省儿童医院,,江西,
小儿内科,获提名,复旦大学附属儿科医院厦门医院（厦门市儿童医院,https://ch.shmu.edu.cn/,福建,厦门
小儿内科,获提名,温州医科大学附属第二医院,,浙江,温州
小儿外科,1,复旦大学附属儿科医院,https://ch.shmu.edu.cn/,,
小儿外科,2,复旦大学附属中山医院,https://www.zs-hospital.sh.cn/,广东,中山
小儿外科,3,浙江大学医学院附属儿童医院,https://www.zju-ch.com/,浙江,
小儿外科,4,浙江大学医学院附属第二医院,https://www.z2hospital.com/,浙江,
小儿外科,5,上海交通大学医学院附属新华医院,https://www.xinhuamed.com.cn/,上海,上海
小儿外科,6,上海交通大学医学院附属瑞金医院,https://www.rjh.com.cn/,上海,上海
小儿外科,7,上海交通大学医学院附属,https://www.rjh.com.cn/,上海,上海
小儿外科,8,上海儿童医学中心,,上海,上海
小儿外科,9,山东大学齐鲁医院,https://www.qiluhospital.com/,山东,
小儿外科,10,南京医科大学附属儿童医院,,江苏,南京
小儿外科,获提名,江苏省人民医院,https://www.jsph.org.cn/,江苏,
小儿外科,获提名,（南京医科大学第一附属医院,https://www.jsph.org.cn/,江苏,南京
小儿外科,获提名,上海市儿童医院,,上海,上海
小儿外科,获提名,中国科学技术大学附属第一医院（安徽省立医院,https://www.ahslyy.com.cn/,安徽,
小儿外科,获提名,福建省立医院,https://www.fjsl.com.cn/,福建,
小儿外科,获提名,苏州大学附属儿童医院,,江苏,苏州
小儿外科,获提名,江西省儿童医院,,江西,
小儿外科,获提名,山东第一医科大学附属省立医院（山东省立医院,https://www.sph.com.cn/,山东,
小儿外科,获提名,青岛大学附属医院,https://www.qduh.cn/,山东,青岛
小儿外科,获提名,复旦大学附属儿科医院安徽医院（安徽省儿童医院,https://ch.shmu.edu.cn/,安徽,
小儿外科,获提名,青岛大学附属妇女儿童医院,,山东,青岛
胸外科,1,复旦大学附属中山医院,https://www.zs-hospital.sh.cn/,广东,中山
胸外科,2,上海市胸科医院,https://www.shxkyy.com/,上海,上海
胸外科,3,上海交通大学医学院附属上海儿童医学中心,,上海,上海
胸外科,4,上海市肺科医院,https://www.shsfkyy.com/,上海,上海
胸外科,5,福建医科大学附属协和医院,https://www.fjxiehe.com/,福建,
胸外科,6,浙江大学医学院附属第一医院,https://www.zy91.com/,浙江,
胸外科,7,上海交通大学医学院附属瑞金医院,https://www.rjh.com.cn/,上海,上海
胸外科,8,复旦大学附属肿瘤医院,https://www.shca.org.cn/,,
胸外科,9,山东大学齐鲁医院,https://www.qiluhospital.com/,山东,
胸外科,10,南京大学医学院附属鼓楼医院,https://www.njglyy.com/,江苏,南京
胸外科,获提名,海军军医大学第一附属医院,,,
胸外科,获提名,同济大学附属东方医院（上海市东方医院,https://www.easthospital.cn/,上海,上海
胸外科,获提名,浙江大学医学院附属第二医院,https://www.z2hospital.com/,浙江,
胸外科,获提名,南京市第一医院,,江苏,南京
胸外科,获提名,江苏省人民医院（南京医科大学第一附属医院,https://www.jsph.org.cn/,江苏,南京
胸外科,获提名,上海交通大学医学院附属新华医院,https://www.xinhuamed.com.cn/,上海,上海
胸外科,获提名,安徽医科大学第一附属医院,https://www.ayfy.com/,安徽,
胸外科,获提名,上海交通大学医学院附属仁济医院,https://www.renji.com/,上海,上海
胸外科,获提名,山东第一医科大学附属省立医院（山东省立医院,https://www.sph.com.cn/,山东,
胸外科,获提名,苏州大学附属第一医院,,江苏,苏州
